p,q,high_D_neighbors,low_D_neighbors,cell_type
1,1,6,0,high_D
2,1,4,2,high_D
3,1,4,2,low_D
4,1,3,3,low_D
5,1,3,3,high_D
6,1,5,1,high_D
7,1,4,2,high_D
8,1,2,4,high_D
9,1,4,2,low_D
10,1,5,1,high_D
1,2,3,3,high_D
2,2,4,2,low_D
3,2,2,4,high_D
4,2,5,1,low_D
5,2,4,2,high_D
6,2,4,2,low_D
7,2,2,4,low_D
8,2,2,4,low_D
9,2,3,3,high_D
10,2,5,1,high_D
1,3,3,3,low_D
2,3,3,3,low_D
3,3,3,3,high_D
4,3,4,2,high_D
5,3,4,2,high_D
6,3,2,4,high_D
7,3,1,5,low_D
8,3,1,5,low_D
9,3,4,2,low_D
10,3,3,3,high_D
1,4,2,4,low_D
2,4,2,4,high_D
3,4,4,2,low_D
4,4,2,4,high_D
5,4,3,3,low_D
6,4,2,4,low_D
7,4,2,4,low_D
8,4,2,4,high_D
9,4,3,3,high_D
10,4,2,4,low_D
1,5,1,5,low_D
2,5,2,4,high_D
3,5,3,3,low_D
4,5,1,5,low_D
5,5,2,4,low_D
6,5,3,3,low_D
7,5,1,5,high_D
8,5,3,3,low_D
9,5,2,4,high_D
10,5,2,4,low_D
1,6,3,3,low_D
2,6,2,4,high_D
3,6,2,4,low_D
4,6,2,4,low_D
5,6,3,3,high_D
6,6,3,3,high_D
7,6,3,3,low_D
8,6,2,4,low_D
9,6,2,4,low_D
10,6,2,4,low_D
1,7,2,4,high_D
2,7,3,3,low_D
3,7,1,5,high_D
4,7,3,3,low_D
5,7,3,3,high_D
6,7,3,3,high_D
7,7,3,3,low_D
8,7,0,6,high_D
9,7,2,4,low_D
10,7,2,4,high_D
1,8,3,3,low_D
2,8,3,3,low_D
3,8,3,3,low_D
4,8,1,5,high_D
5,8,3,3,low_D
6,8,1,5,low_D
7,8,1,5,low_D
8,8,1,5,low_D
9,8,2,4,low_D
10,8,2,4,high_D
1,9,4,2,low_D
2,9,3,3,high_D
3,9,3,3,high_D
4,9,3,3,low_D
5,9,2,4,low_D
6,9,2,4,low_D
7,9,2,4,low_D
8,9,1,5,low_D
9,9,1,5,low_D
10,9,3,3,low_D
1,10,5,1,high_D
2,10,5,1,high_D
3,10,2,4,high_D
4,10,3,3,low_D
5,10,3,3,high_D
6,10,4,2,high_D
7,10,3,3,high_D
8,10,3,3,low_D
9,10,2,4,high_D
10,10,4,2,high_D
